Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
DDM92ϟ,28676,1,0.75,0.5,221,165,1368
Zero is back,220813,21,1.05,1.1,1837,1908,9125
LakisLakis77,1066846,34,0.83,0.3,10184,8399,45432
Shadyッ,11196,2,0.69,0.3,617,425,495
Elesawy_,491821,91,0.82,1.4,6661,5376,20492
VSC TdSoqueTeS,176501,21,1.32,2.1,1009,1304,7238
Nightcrawler H2O,1048395,65,1.05,1.4,4774,4955,48037
Dr3ma不,953990,90,1.11,0.7,13833,15213,38458
IAM_MBiO,295007,9,0.6,0.4,2158,1286,15648
GrampaJ,1998487,208,0.98,1.6,13032,12618,83949
geovani_L2R2,701518,98,1.4,2.1,4639,6379,29805
annoyingfish,3643995,155,0.84,0.5,34307,28632,155638
firestorm6876,1672679,96,1.2,1.0,9404,11172,70248
CaGeDeMiSe,1097356,148,1.14,2.0,7589,8462,44980
triton SRB,603873,50,0.81,1.1,4454,3586,25848
mr.roachclip420ツ,408060,22,0.41,0.7,3059,1230,19977
ˢʸʳᶤᵃZ3EM,705196,103,0.92,1.2,8481,7680,29227
Blaack_Toown,1335739,211,1.0,1.5,13888,13629,55343
Whistler_ELITE,1919822,141,0.83,0.9,16353,13531,80337
hqr_diver,1394681,150,1.31,2.0,7544,9698,56276
Farfadet53,931017,91,1.1,1.8,5053,5448,38150
Field_King,112991,3,0.61,0.5,588,358,5296
Souls OCulien,53812,2,0.34,0.8,249,84,2741
Mad Kiwi,2737653,338,1.46,1.9,17721,25297,107703
Monkey D. SHURA,494448,41,0.77,0.9,4499,3414,22105
Miro.PL,167345,7,0.29,0.7,1035,298,7988
Fortnitedelcaxxo,48699,2,0.54,0.3,708,378,2296
V0N .,110967,14,1.35,2.4,591,781,4956
SyfexG,465944,61,1.09,1.3,4584,4950,18437
Mamdouuhh1,1710635,202,1.11,1.7,11862,12973,71596
roofnman,3574550,147,0.75,0.6,23993,17996,162815
skv1zi02,1192407,88,1.35,1.0,8900,11857,48038
дидиска,155508,15,1.11,1.7,909,990,6538
Dr DeDaO,1109659,67,0.66,0.9,7490,4899,54192
Decent William,74511,4,0.7,0.7,571,399,3278
bestplayeranto,1453089,144,1.35,1.5,9321,12403,62632
Matsi yessir.,774395,101,1.24,1.7,5881,7158,33197
sᴢᴇғᴜɴᴄɪᴏ fαѕтєr,911478,65,0.93,0.8,7753,7127,39048
J_Nice04,1676811,44,1.11,0.4,10063,11121,75258
Nox_Max,752981,177,0.89,1.6,10854,9516,32636
CROPTOP Dylan,3439496,106,0.21,0.4,24887,5321,220536
molaz1,344375,42,1.02,2.2,1869,1863,14717
PADRINHO 240Hz,564455,71,1.19,2.5,2821,3273,24426
DecayingTunaLips,2850925,108,0.72,0.5,20193,14464,127476
CruelShredder,337919,53,0.61,1.5,3504,2107,15827
ehcruz Ψ,888244,153,1.04,2.2,7084,7208,36582
Punisher-ك,971544,102,0.96,1.0,10067,9534,39228
iTøxiic ツ,1287167,193,0.98,1.8,10501,10080,55560
VIPEX avok ӝ,2153978,132,0.83,0.5,26642,22007,88657
zxcv -iwnl- 圖例等級,1881349,132,1.13,1.0,12623,14131,86349
NoobBryant,468950,65,0.9,2.1,3168,2798,20728
Kun0HD,757636,70,0.81,1.4,4838,3860,35286
Tokyo Blade,1557685,261,1.02,2.5,10559,10534,66000
RageFaija,632231,57,0.62,0.9,6359,3910,29013
M1chael07,408411,61,0.84,1.7,3620,2980,17857
10ironhead00,3188620,321,0.91,2.4,13648,12161,140720
RS OP ytOviPatac,323134,63,1.35,2.6,2387,3128,12515
ClearlyOutPlayed,296721,15,0.87,0.5,2908,2503,12418
TTV DarkSider85,1046468,108,1.29,1.2,8792,11187,44189
WERRRA03,1042842,129,0.9,2.3,5611,4947,46853
Gamma Ψ,673590,77,0.91,2.5,3053,2717,29113
Boneman 74,2180743,186,0.77,2.0,9185,6942,95137
L E Ó N.,2219568,276,1.41,1.8,15634,21655,85846
New Killing,1380393,77,1.18,0.7,11817,13879,56801
Crysonek,350927,65,1.4,2.7,2392,3248,14444
Platine 永,1392548,151,1.1,2.4,6411,6899,61078
pari93,174115,27,1.25,2.2,1242,1523,6980
CheQeMatt-CsK,1731070,257,1.25,2.3,11375,13870,71663
herK0kales,1533591,164,1.34,1.3,12686,16721,59160
Eton1127 YT,2137532,194,1.2,1.3,15347,18143,93604
DubNasty23,3276606,371,1.01,2.5,14699,14449,141851
D0nger.,54535,6,1.41,1.5,397,553,2275
あの谷次郎,129017,22,1.01,1.9,1149,1139,5260
AgroJ YT,590733,91,1.26,2.1,4249,5258,25431
MsPoison_IvyTTV,1161008,48,1.0,0.8,6373,6344,49191
Guru Guru Waton,118248,17,1.2,1.8,926,1095,4765
OMC Nuchos,263978,47,0.85,1.0,4660,3918,10911
ᴹʳ.GLΘPEZ ᴳᵒᵈ シ,759118,52,1.07,1.3,4158,4403,33202
JACK PALANCE,527973,25,0.95,0.4,6009,5664,21152
xDerfelCadarn,3436439,263,0.9,1.2,22717,20182,162232
CookiePeanuts20,5439,1,0.51,1.0,100,50,246
Stanley._,1879415,174,1.42,1.0,17293,24389,77335
Ethereum 10k,745541,44,0.86,0.9,4970,4225,32976
twitch_evermix19,809390,76,0.71,1.5,5129,3611,37925
Lowborn007,1255584,74,0.87,0.9,7796,6703,55134
Bi TAX YT,247561,54,1.03,1.6,3315,3367,10678
breakdownlow,1009945,84,1.16,0.8,9991,11481,40860
GkingTV,150243,11,1.43,1.3,855,1206,6348
baby estefi,623677,111,1.33,2.7,4094,5286,24769
Cz - xSn0Wツ,234436,40,1.33,2.2,1847,2401,9845
Rub e pera,1311632,150,1.06,1.7,8698,9034,57141
twitch_Janivi,1074440,142,1.09,1.8,7704,8236,47095
