Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
ttvPastorantoine,1304158,147,1.3,1.7,8832,11328,59009
Kubuś on Drugsツ,1538515,103,0.76,0.9,11736,8815,70360
ʀɢʟᴜ,668496,107,1.25,1.8,6038,7437,28945
Lé Petit Muniir,627185,158,1.24,1.4,11488,14014,26480
Chulo-33,277968,29,1.33,1.8,1632,2136,11007
Maxííí,1528665,352,1.29,2.7,13016,16310,62499
r3x4k0,509374,47,0.87,1.9,2488,2133,22351
Simply Swanky,413995,33,0.92,1.0,3363,3059,18861
T-REKTHØS,44853,9,0.87,1.1,831,715,1936
アordy ϟ,398075,36,1.02,1.1,3336,3363,16987
davidsb123,56115,1,0.84,0.2,468,394,2631
κιlled βγ αlρhα,1056914,143,1.22,1.7,8391,10095,45883
mcKarlus,100047,8,0.95,0.4,1961,1853,4231
DoorKey on OF,386715,72,1.11,2.8,2563,2776,17217
LIDEČKOVJAN PIČO,147862,10,1.2,0.7,1408,1678,5898
ᵀʷⁱᵗᶜʰRippersan,138999,23,1.35,1.6,1398,1860,5773
Codigo Drogo,475390,123,1.37,2.5,4939,6580,17250
fknLEGIT,753813,136,1.42,2.5,5337,7378,33835
ricardincanayin,864196,96,1.35,1.6,6055,8062,34527
herobiscuit,347254,25,1.24,0.6,4391,5414,12688
elreydelmundo92,555477,72,1.01,1.0,7420,7446,23454
Javi-Burgos,195279,22,0.58,1.8,1217,699,9732
bushinhö,1514657,194,1.03,2.2,8758,8850,67521
RD-Antony,747295,71,1.1,1.9,3763,4048,31147
